YoutubeID,Start_timestamp,End_timestamp,Caption,Aesthetic_Score
ZpUYjpKg9KY,00:02:26.021,00:02:26.730,"The video clip shows a large crowd of people gathered in a stadium, cheering and waving their hands in the air. The atmosphere is lively and energetic.",9.7421875
SXvxJELpD4w,00:00:44.040,00:00:45.080,The video clip shows a group of musicians performing on a boat. They are playing instruments and singing while standing on the deck of the boat. It appears to be a lively and enjoyable performance.,9.2890625
LpKV5rJsznM,00:01:25.440,00:01:26.040,The video clip shows a man dressed in pajamas dancing in a kitchen. He is wearing glasses and appears to be having a good time.,9.28125
ZpUYjpKg9KY,00:02:25.395,00:02:26.021,"The video clip shows a large crowd of people gathered in a stadium, cheering and clapping. It appears to be a lively and energetic event.",9.2421875
l-EdCNjumvI,00:00:45.254,00:00:47.714,The video clip shows a group of people performing a dance routine in front of a large crowd. They are dressed in colorful costumes and appear to be having a lot of fun.,9.2109375
NQLbCmnTe88,00:01:08.302,00:01:11.038,The video clip shows a man dressed as a bunny dancing on a roof. He is accompanied by a dog who is also dressed in a bunny costume. The two of them are dancing together and having a good time.,9.2109375
VEfkNHTjgs8,00:04:32.189,00:04:34.441,The video clip shows a group of people dressed in colorful costumes performing a dance routine on a city street. They seem to be having a lot of fun and enjoying themselves.,9.1953125
1nrcZQliOGI,00:03:15.042,00:03:16.375,The video clip shows a group of people singing and dancing together. They are all dressed in white clothes and appear to be having a great time. It seems to be a joyful and lively event.,9.1953125
l-EdCNjumvI,00:00:04.504,00:00:05.797,The video clip shows a group of men sitting on the back of a truck. They appear to be having a good time and enjoying each other's company.,9.1875
VEfkNHTjgs8,00:02:37.532,00:02:40.202,The video clip shows a man dancing in a room filled with colorful stuffed animals. He is wearing a hat and appears to be having a lot of fun.,9.1328125
KlAAQ4TzqdA,00:03:12.920,00:03:16.000,The video clip shows a group of men dressed in blue shirts singing and dancing in front of a classic car. They seem to be having a good time and enjoying themselves.,9.1328125
58ylhZHjnHY,00:00:26.660,00:00:27.828,The video clip shows a cute cartoon character blowing bubbles. The character is wearing a pink dress and is blowing bubbles with a bubble wand. It appears to be a fun and playful scene.,9.1015625
VEfkNHTjgs8,00:05:07.557,00:05:10.352,The video clip shows a group of people dressed in colorful costumes walking down a city street. They appear to be dancing and having a good time.,9.0859375
RjwNcOZYvxQ,00:07:09.240,00:07:11.520,The video clip shows a group of men dressed in matching plaid pajamas standing in a line. They appear to be posing for a photo.,9.078125
52E4JRtDPYg,00:05:15.883,00:05:17.618,The video clip shows a group of animated characters dressed in superhero costumes. They are standing on a field and seem to be preparing for a race.,9.0625
ZpUYjpKg9KY,00:02:26.730,00:02:27.647,"The video clip shows a group of people gathered in a crowd, cheering and clapping. They appear to be at a concert or a sporting event. The atmosphere is lively and energetic.",9.0625
Kq3M09qTDDM,00:00:45.012,00:00:46.346,The video clip shows a group of people dancing and having a good time. They are dressed in colorful clothing and appear to be enjoying themselves.,9.046875
Q8YLlUW7VGc,00:03:00.480,00:03:03.240,The video clip shows a man dancing in the middle of a city street. He is wearing a striped shirt and is surrounded by tall buildings.,9.046875
bxcJC0dIjSo,00:02:16.800,00:02:18.000,The video clip shows a group of people dancing in the street. They seem to be having a lot of fun and enjoying themselves. It appears to be a lively and joyful scene.,9.0390625
INsDaKTFXsM,00:00:00.000,00:00:03.467,The video clip shows a painting on the ceiling of a room. The painting depicts a man in the center surrounded by angels and other figures. It appears to be a religious scene.,9.015625
DCDRyEPQsrM,00:02:38.867,00:03:01.667,The video clip shows a man standing on a boat in the middle of the ocean. He is wearing a red shirt and appears to be giving a thumbs up to the camera.,9.0078125
aVgetIvEIAs,00:02:38.075,00:02:39.659,"The video clip shows a group of musicians performing on a stage. They are dressed in formal attire and are playing various instruments such as a guitar, drums, and a cello. The musicians seem to be having a great time, and the audience is enjoying their performance.",9.0
SXvxJELpD4w,00:00:28.320,00:00:29.560,The video clip shows a group of musicians performing on a cruise ship. They are playing instruments and singing while standing on the deck of the ship. It seems like they are having a great time and enjoying their time on the cruise.,9.0
mVMJ77faYOQ,00:08:00.200,00:08:03.120,The video clip shows a little girl dressed in a wedding dress standing in front of a playhouse. The playhouse is shaped like a giant doughnut. The little girl is smiling and posing in front of the playhouse.,8.9609375
BSliS9SYY2U,00:03:09.731,00:03:10.357,The video clip shows a man standing in front of a ferris wheel at an amusement park. He is wearing a blue jacket and appears to be enjoying the ride.,8.9609375
07r_B9zFYQo,00:04:23.233,00:04:26.067,The video clip shows a group of people standing in front of a table filled with various fruits and vegetables. They seem to be preparing a healthy meal together.,8.9609375
