path,Caption,Aesthetic_Score,caption_interaction
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/jTS1o-LNW-4-00:02:37.457-00:02:37.958.mp4,The video clip shows a man dressed in a suit holding a camera and taking a picture of himself. The man is wearing a tie and appears to be taking a selfie.,6.81640625,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/vpiAatRszzo-00:12:13.880-00:12:26.880.mp4,The video clip shows an elderly couple sitting at a table and sharing a meal together. They seem to be having a good time and enjoying each other's company.,6.76171875,Yes
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/Go7SeJ-yOL4-00:01:20.367-00:01:22.333.mp4,"The video clip shows an anime character dressed in a white outfit, standing in front of a blue sky. The character appears to be floating in the air.",6.75,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/lR3G5lIr-BE-00:00:09.000-00:00:32.840.mp4,The video clip shows a woman dressed in a suit standing in front of a dining table. She is holding a glass of wine and appears to be preparing for a meal.,6.61328125,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/8pzsMqMtFZM-00:00:10.320-00:00:18.440.mp4,"The video clip shows a group of women dressed in traditional Chinese clothing, with one of them wearing a headpiece. They are standing in a room and seem to be preparing for a performance.",6.57421875,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/WUCQ7fsoULU-00:04:24.133-00:04:27.267.mp4,The video clip shows a screenshot of a game with a skeleton character in it. It appears to be a screenshot from a video game.,6.57421875,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/RYWMbSupuVo-00:06:04.431-00:06:05.832.mp4,"The video clip shows a group of children playing in a bouncy castle. They can be seen jumping, sliding, and having fun in the inflatable structure.",6.55859375,Yes
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/O9oEdYYfM68-00:04:00.240-00:04:01.975.mp4,"The video clip shows a man wearing a suit and tie, standing in a dark room. He seems to be looking at the camera with a serious expression.",6.47265625,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/Voxk6PPEqJ8-00:02:01.955-00:02:05.158.mp4,The video clip shows a close-up of a doll's face with a pair of scissors next to it. The doll appears to be wearing a pair of glasses and has a haircut.,6.46484375,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/EVUqrVNoIzQ-00:08:42.480-00:09:01.880.mp4,The video clip shows a bowl of rice being cooked in a pan. The person in the video is stirring the rice with chopsticks while cooking it.,6.4453125,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/c4P4WDTb41E-00:01:59.160-00:03:45.000.mp4,The video clip shows a man sitting in a recording studio with a microphone in his hand. He is wearing headphones and appears to be in the middle of a recording session.,6.39453125,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/eDf88HRj8DE-00:02:38.725-00:02:39.860.mp4,"The video clip shows a baseball player wearing a helmet and a catcher's gear. The player is standing in a batting cage, preparing to hit the ball.",6.37890625,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/SK9u6C_CHG8-00:07:42.629-00:07:45.865.mp4,The video clip shows a group of people dressed in costumes and performing a dance in front of a large pumpkin. It appears to be a playful and lively performance.,6.359375,Yes
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/Rb-Rjx6WntA-00:01:40.433-00:02:33.700.mp4,The video clip shows a man sitting at a table and playing cards. He is wearing a cap and appears to be focused on the game. There are also other people in the video who are also playing cards.,6.3515625,Yes
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/Vdo-XLwllew-00:02:28.912-00:02:29.447.mp4,The video clip shows a cartoon character holding a knife in one hand and a banana in the other. It appears to be a battle between the character and the banana.,6.34765625,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/Tpnx1tgQReo-00:00:13.920-00:00:20.280.mp4,The video clip shows a cartoon character holding a microphone and speaking into it. It appears to be an animated video clip.,6.34765625,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/l6k8dwlWxhc-00:01:40.760-00:01:49.120.mp4,The video clip shows a man wearing a red shirt and holding a soccer ball. He is standing on a soccer field and seems to be playing with the ball. It appears to be a fun and casual game.,6.328125,Yes
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/bordtsmab0g-00:00:51.400-00:00:55.320.mp4,The video clip shows a woman wearing a striped shirt and laughing while sitting on a couch. She appears to be enjoying herself and having a good time.,6.3203125,No
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/JNtPVcG67jY-00:07:17.170-00:07:19.339.mp4,The video clip shows a group of people dressed in traditional Korean clothing performing a traditional Korean dance. The dancers are dressed in colorful costumes and are holding musical instruments. The dance appears to be quite energetic and lively.,6.3203125,Yes
