path,Caption,Aesthetic_Score,caption_interaction,text
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/jTS1o-LNW-4-00:02:37.457-00:02:37.958.mp4,The video clip shows a man dressed in a suit holding a camera and taking a picture of himself. The man is wearing a tie and appears to be taking a selfie.,6.81640625,No,"The video is a compilation of various scenes, possibly from different films or television shows, edited together. The scenes are presented in a collage-like manner, with no clear narrative or connection between them.  In the first scene, there is a close-up of a person's face, who appears to be a young girl with dark hair and fair skin. She is looking directly at the camera with a calm expression.  The second scene shows a car driving on a road. The car is blurred, indicating motion, and the background is out of focus, suggesting the car is moving quickly.  The third scene is a close-up of a person's hand holding a cell phone. The phone is turned on, and the screen is visible, but the content on the screen is not clear.  The fourth scene is a close-up of a person's face, who appears to be a man with dark hair and a beard. He is looking directly at the camera with a serious expression.  The fifth scene is a close-up of a person's hand holding a knife. The knife is sharp and appears to be made of metal.  The sixth scene is a close-up of a person's face, who appears to be a woman with dark hair and fair skin. She is looking directly at the camera with a concerned expression.  The seventh scene is a close-up of a person's hand holding a gun. The gun is metallic and appears to be a handgun.  The eighth scene is a close-up of a person's face, who appears to be a man with dark hair and a mustache. He is looking directly at the camera with a serious expression.  The ninth scene is a close-up of a person's hand holding a bottle. The bottle is clear and appears to contain a liquid.  The tenth scene is a close-up of a person's face, who appears to be a woman with dark hair and fair skin. She is looking directly at the camera with a surprised expression.  The eleventh scene is a close-up of a person's hand holding a book. The book is open, and the pages are visible, but the content on the pages is not clear.  The twelfth scene is a close-up of"
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/vpiAatRszzo-00:12:13.880-00:12:26.880.mp4,The video clip shows an elderly couple sitting at a table and sharing a meal together. They seem to be having a good time and enjoying each other's company.,6.76171875,Yes,"The video is a close-up shot of a man and a woman sitting together, with the man on the left and the woman on the right. The man is wearing a black hat and a black jacket, while the woman is wearing a patterned shirt. They are both smiling and appear to be engaged in a conversation. The background is blurred, but it seems to be an indoor setting with a potted plant visible. There are no texts or other objects in the image. The relative positions of the objects suggest a casual, intimate setting, possibly a home or a restaurant. The focus is on the interaction between the two individuals, with no other distractions in the frame."
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/Go7SeJ-yOL4-00:01:20.367-00:01:22.333.mp4,"The video clip shows an anime character dressed in a white outfit, standing in front of a blue sky. The character appears to be floating in the air.",6.75,No,"The video is a 3D animation featuring a female character with blue hair and a white and blue outfit. She is standing on a snowy surface with a mountainous background. The character is holding a staff and appears to be casting a spell, as indicated by the magical energy emanating from her hand. The animation is dynamic, with the character's hair and clothing flowing in the wind. The overall style of the animation is reminiscent of anime or manga."
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/lR3G5lIr-BE-00:00:09.000-00:00:32.840.mp4,The video clip shows a woman dressed in a suit standing in front of a dining table. She is holding a glass of wine and appears to be preparing for a meal.,6.61328125,No,"The video is a short instructional or demonstration video, likely related to a culinary or dining context. It features a woman standing in front of a table set with various items. The woman appears to be in the middle of a presentation or demonstration, as she is gesturing with her hands and speaking. She is wearing a dark blazer over a light-colored shirt, and her hair is styled in a short, wavy cut.  On the table, there is a large metal pot with a lid, a stack of plates, and several wine glasses. The table is set with a white tablecloth, and there are chairs visible around it. The background is neutral and does not provide any additional context or setting.  There are no visible texts or logos in the video that provide additional information about the content or the source of the video. The style of the video is straightforward and informative, with a focus on the woman and the table setting. The lighting is even, and the video appears to be well-lit, suggesting an indoor setting."
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/8pzsMqMtFZM-00:00:10.320-00:00:18.440.mp4,"The video clip shows a group of women dressed in traditional Chinese clothing, with one of them wearing a headpiece. They are standing in a room and seem to be preparing for a performance.",6.57421875,No,"The video is a historical drama scene featuring two women. The woman in the foreground is wearing a traditional Chinese outfit with a blue and white pattern, a headpiece adorned with a large flower, and her hair is styled in an elaborate updo. She has a serious expression on her face and is looking off to the side. The woman in the background is wearing a similar outfit but with a different color scheme, and she has a neutral expression.  There is text overlaid on the image that reads, ""Now she's left the world and the other is there to conduct the after."" The text is in English and appears to be a translation or subtitle of the dialogue being spoken by the characters in the scene. The overall style of the video suggests it is a still from a television show or movie, capturing a moment of dialogue between the two characters."
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/WUCQ7fsoULU-00:04:24.133-00:04:27.267.mp4,The video clip shows a screenshot of a game with a skeleton character in it. It appears to be a screenshot from a video game.,6.57421875,No,"The video appears to be a screenshot from a video game, featuring a first-person perspective. The player's avatar is not visible, but the game interface is displayed in the foreground. The avatar's health bar is at the top left corner, showing a full bar, and there is a small icon indicating the player's current action, which seems to be a jump or a similar movement.  In the center of the screen, there is a large, dark, bat-like creature with outstretched wings. The creature has a menacing appearance with sharp teeth and glowing eyes. It is positioned in the middle of a rocky landscape with a greenish hue, suggesting a cave or underground environment.  The bottom of the screen shows a chat window with text in a language that uses Devanagari script, which is commonly used in several Indian languages. The text is too small to read in detail, but it seems to be a conversation between players or with the game itself.  The overall style of the image is digital and colorful, typical of modern video games. The graphics are detailed, with a focus on the creature and the surrounding environment. The game interface elements are overlaid on the image, providing information about the player's status and actions."
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/RYWMbSupuVo-00:06:04.431-00:06:05.832.mp4,"The video clip shows a group of children playing in a bouncy castle. They can be seen jumping, sliding, and having fun in the inflatable structure.",6.55859375,Yes,"The video is a vibrant and lively scene from a children's indoor play area. The main focus is a large, inflatable play structure that resembles a monkey. The monkey is adorned with a pair of sunglasses and is wearing a red and blue striped swimsuit. It's standing on a green platform, which is connected to a yellow slide. The slide is located on the right side of the monkey structure.  In the background, there's a window that lets in natural light, illuminating the play area. The window is located on the left side of the monkey structure. The play area is filled with colorful balls, adding to the playful atmosphere.  The video is in Korean, with subtitles in English. The text on the screen reads ""새로운 장치 출시"", which translates to ""New equipment released"". This suggests that the play area has recently introduced this new monkey-themed play structure. The overall scene is filled with excitement and fun, capturing the essence of a children's play area."
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/O9oEdYYfM68-00:04:00.240-00:04:01.975.mp4,"The video clip shows a man wearing a suit and tie, standing in a dark room. He seems to be looking at the camera with a serious expression.",6.47265625,No,"The video is a still image with a man in the foreground. He appears to be an older African American man with a serious expression. He is wearing a dark suit and tie, and his hair is gray. The background is blurred but suggests an indoor setting with what looks like a window and a cityscape. There is text overlaid on the image, which is in Korean. The text is white with a black outline and reads ""저는 새로운 시작을 위해 온 것입니다."" This translates to ""I am here for a new start."" The style of the image is realistic and it seems to be a still from a film or television show."
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/Voxk6PPEqJ8-00:02:01.955-00:02:05.158.mp4,The video clip shows a close-up of a doll's face with a pair of scissors next to it. The doll appears to be wearing a pair of glasses and has a haircut.,6.46484375,No,"The video is a close-up shot of a doll with blonde hair and green eyes, wearing glasses. The doll is positioned in the center of the frame, and the background is blurred, making it difficult to discern any specific details. The doll appears to be made of plastic and has a glossy finish. The glasses on the doll's face are a dark color, possibly black or dark blue. The doll is wearing a blue dress with a white collar. The video is shot in a way that the doll is the main focus, with the background being out of focus. There are no texts or other objects in the video. The doll is not moving, and the video does not show any actions being performed on the doll. The video does not provide any information about the location or the time when it was taken. The video does not contain any sound. The video does not provide any information about the people or objects in the background. The video does not provide any information about the actions being performed on the doll. The video does not provide any information about the location or the time when it was taken. The video does not contain any sound. The video does not provide any information about the people or objects in the background. The video does not provide any information about the actions being performed on the doll. The video does not provide any information about the location or the time when it was taken. The video does not contain any sound. The video does not provide any information about the people or objects in the background. The video does not provide any information about the actions being performed on the doll. The video does not provide any information about the location or the time when it was taken. The video does not contain any sound. The video does not provide any information about the people or objects in the background. The video does not provide any information about the actions being performed on the doll. The video does not provide any information about the location or the time when it was taken. The video does not contain any sound. The video does not provide any information about the people or objects in the background. The video does not provide any information about the actions being performed on the doll. The video does not provide any information about the location or the time when it was taken. The video does not contain any sound. The video does not provide any information about the people or objects in the background. The video does not provide any information about the"
/mnt/pfs-gv8sxa/tts/dhg/jinqiao/mhi/Datasets/videos/EVUqrVNoIzQ-00:08:42.480-00:09:01.880.mp4,The video clip shows a bowl of rice being cooked in a pan. The person in the video is stirring the rice with chopsticks while cooking it.,6.4453125,No,"The video is a close-up, step-by-step cooking tutorial featuring a dish that appears to be a type of fried rice. The main ingredients visible in the dish are white rice, green onions, and what looks like chopped meat or tofu. The cooking process is shown in real-time, with the ingredients being added to a wok or frying pan.  In the first few seconds, the wok is heated with oil, and the rice is added, stirring it to coat the grains with the oil. The rice is then left to cook for a few minutes before the green onions are added, followed by the meat or tofu. The ingredients are stir-fried together, and the cooking process continues with the addition of more ingredients, including what appears to be soy sauce or a similar sauce, and possibly other seasonings or spices.  The video is shot from an overhead angle, focusing on the wok and the ingredients inside. The lighting is bright, highlighting the textures and colors of the food. There are no visible texts or branding in the video. The style of the video is typical of cooking tutorial content, with a focus on the food and the cooking process, and it is likely intended for an audience interested in learning how to prepare a specific dish."
