path,Caption,Aesthetic_Score,caption_interaction,has_person,num_persons,bbox_overlap
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/jTS1o-LNW-4-00:02:37.457-00:02:37.958.mp4,The video clip shows a man dressed in a suit holding a camera and taking a picture of himself. The man is wearing a tie and appears to be taking a selfie.,6.81640625,No,1,2,1
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/vpiAatRszzo-00:12:13.880-00:12:26.880.mp4,The video clip shows an elderly couple sitting at a table and sharing a meal together. They seem to be having a good time and enjoying each other's company.,6.76171875,Yes,1,2,1
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/Go7SeJ-yOL4-00:01:20.367-00:01:22.333.mp4,"The video clip shows an anime character dressed in a white outfit, standing in front of a blue sky. The character appears to be floating in the air.",6.75,No,1,5,1
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/lR3G5lIr-BE-00:00:09.000-00:00:32.840.mp4,The video clip shows a woman dressed in a suit standing in front of a dining table. She is holding a glass of wine and appears to be preparing for a meal.,6.61328125,No,1,3,1
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/8pzsMqMtFZM-00:00:10.320-00:00:18.440.mp4,"The video clip shows a group of women dressed in traditional Chinese clothing, with one of them wearing a headpiece. They are standing in a room and seem to be preparing for a performance.",6.57421875,No,1,3,1
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/WUCQ7fsoULU-00:04:24.133-00:04:27.267.mp4,The video clip shows a screenshot of a game with a skeleton character in it. It appears to be a screenshot from a video game.,6.57421875,No,1,2,1
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/RYWMbSupuVo-00:06:04.431-00:06:05.832.mp4,"The video clip shows a group of children playing in a bouncy castle. They can be seen jumping, sliding, and having fun in the inflatable structure.",6.55859375,Yes,1,1,0
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/O9oEdYYfM68-00:04:00.240-00:04:01.975.mp4,"The video clip shows a man wearing a suit and tie, standing in a dark room. He seems to be looking at the camera with a serious expression.",6.47265625,No,1,1,0
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/Voxk6PPEqJ8-00:02:01.955-00:02:05.158.mp4,The video clip shows a close-up of a doll's face with a pair of scissors next to it. The doll appears to be wearing a pair of glasses and has a haircut.,6.46484375,No,1,1,0
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/EVUqrVNoIzQ-00:08:42.480-00:09:01.880.mp4,The video clip shows a bowl of rice being cooked in a pan. The person in the video is stirring the rice with chopsticks while cooking it.,6.4453125,No,1,1,0
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/c4P4WDTb41E-00:01:59.160-00:03:45.000.mp4,The video clip shows a man sitting in a recording studio with a microphone in his hand. He is wearing headphones and appears to be in the middle of a recording session.,6.39453125,No,1,1,0
/mnt/spaceai-internal/panda-intervid/internvid/nvme/tmp/heyinan/panda/00/eDf88HRj8DE-00:02:38.725-00:02:39.860.mp4,"The video clip shows a baseball player wearing a helmet and a catcher's gear. The player is standing in a batting cage, preparing to hit the ball.",6.37890625,No,1,4,1
