YoutubeID,Start_timestamp,End_timestamp,Caption,Aesthetic_Score,caption_interaction
ZpUYjpKg9KY,00:02:26.021,00:02:26.730,"The video clip shows a large crowd of people gathered in a stadium, cheering and waving their hands in the air. The atmosphere is lively and energetic.",9.7421875,Yes
SXvxJELpD4w,00:00:44.040,00:00:45.080,The video clip shows a group of musicians performing on a boat. They are playing instruments and singing while standing on the deck of the boat. It appears to be a lively and enjoyable performance.,9.2890625,Yes
LpKV5rJsznM,00:01:25.440,00:01:26.040,The video clip shows a man dressed in pajamas dancing in a kitchen. He is wearing glasses and appears to be having a good time.,9.28125,No
ZpUYjpKg9KY,00:02:25.395,00:02:26.021,"The video clip shows a large crowd of people gathered in a stadium, cheering and clapping. It appears to be a lively and energetic event.",9.2421875,Yes
l-EdCNjumvI,00:00:45.254,00:00:47.714,The video clip shows a group of people performing a dance routine in front of a large crowd. They are dressed in colorful costumes and appear to be having a lot of fun.,9.2109375,Yes
NQLbCmnTe88,00:01:08.302,00:01:11.038,The video clip shows a man dressed as a bunny dancing on a roof. He is accompanied by a dog who is also dressed in a bunny costume. The two of them are dancing together and having a good time.,9.2109375,Yes
VEfkNHTjgs8,00:04:32.189,00:04:34.441,The video clip shows a group of people dressed in colorful costumes performing a dance routine on a city street. They seem to be having a lot of fun and enjoying themselves.,9.1953125,Yes
1nrcZQliOGI,00:03:15.042,00:03:16.375,The video clip shows a group of people singing and dancing together. They are all dressed in white clothes and appear to be having a great time. It seems to be a joyful and lively event.,9.1953125,Yes
l-EdCNjumvI,00:00:04.504,00:00:05.797,The video clip shows a group of men sitting on the back of a truck. They appear to be having a good time and enjoying each other's company.,9.1875,Yes
VEfkNHTjgs8,00:02:37.532,00:02:40.202,The video clip shows a man dancing in a room filled with colorful stuffed animals. He is wearing a hat and appears to be having a lot of fun.,9.1328125,No
KlAAQ4TzqdA,00:03:12.920,00:03:16.000,The video clip shows a group of men dressed in blue shirts singing and dancing in front of a classic car. They seem to be having a good time and enjoying themselves.,9.1328125,Yes
58ylhZHjnHY,00:00:26.660,00:00:27.828,The video clip shows a cute cartoon character blowing bubbles. The character is wearing a pink dress and is blowing bubbles with a bubble wand. It appears to be a fun and playful scene.,9.1015625,No
VEfkNHTjgs8,00:05:07.557,00:05:10.352,The video clip shows a group of people dressed in colorful costumes walking down a city street. They appear to be dancing and having a good time.,9.0859375,Yes
RjwNcOZYvxQ,00:07:09.240,00:07:11.520,The video clip shows a group of men dressed in matching plaid pajamas standing in a line. They appear to be posing for a photo.,9.078125,No
52E4JRtDPYg,00:05:15.883,00:05:17.618,The video clip shows a group of animated characters dressed in superhero costumes. They are standing on a field and seem to be preparing for a race.,9.0625,No
ZpUYjpKg9KY,00:02:26.730,00:02:27.647,"The video clip shows a group of people gathered in a crowd, cheering and clapping. They appear to be at a concert or a sporting event. The atmosphere is lively and energetic.",9.0625,Yes
Kq3M09qTDDM,00:00:45.012,00:00:46.346,The video clip shows a group of people dancing and having a good time. They are dressed in colorful clothing and appear to be enjoying themselves.,9.046875,Yes
Q8YLlUW7VGc,00:03:00.480,00:03:03.240,The video clip shows a man dancing in the middle of a city street. He is wearing a striped shirt and is surrounded by tall buildings.,9.046875,No
bxcJC0dIjSo,00:02:16.800,00:02:18.000,The video clip shows a group of people dancing in the street. They seem to be having a lot of fun and enjoying themselves. It appears to be a lively and joyful scene.,9.0390625,Yes
INsDaKTFXsM,00:00:00.000,00:00:03.467,The video clip shows a painting on the ceiling of a room. The painting depicts a man in the center surrounded by angels and other figures. It appears to be a religious scene.,9.015625,No
DCDRyEPQsrM,00:02:38.867,00:03:01.667,The video clip shows a man standing on a boat in the middle of the ocean. He is wearing a red shirt and appears to be giving a thumbs up to the camera.,9.0078125,No
aVgetIvEIAs,00:02:38.075,00:02:39.659,"The video clip shows a group of musicians performing on a stage. They are dressed in formal attire and are playing various instruments such as a guitar, drums, and a cello. The musicians seem to be having a great time, and the audience is enjoying their performance.",9.0,Yes
SXvxJELpD4w,00:00:28.320,00:00:29.560,The video clip shows a group of musicians performing on a cruise ship. They are playing instruments and singing while standing on the deck of the ship. It seems like they are having a great time and enjoying their time on the cruise.,9.0,Yes
mVMJ77faYOQ,00:08:00.200,00:08:03.120,The video clip shows a little girl dressed in a wedding dress standing in front of a playhouse. The playhouse is shaped like a giant doughnut. The little girl is smiling and posing in front of the playhouse.,8.9609375,No
BSliS9SYY2U,00:03:09.731,00:03:10.357,The video clip shows a man standing in front of a ferris wheel at an amusement park. He is wearing a blue jacket and appears to be enjoying the ride.,8.9609375,No
07r_B9zFYQo,00:04:23.233,00:04:26.067,The video clip shows a group of people standing in front of a table filled with various fruits and vegetables. They seem to be preparing a healthy meal together.,8.9609375,Yes
jhvIXAMQcn0,00:01:55.080,00:01:57.240,The video clip shows a group of children playing with hula hoops in a room. The children seem to be having a lot of fun as they jump and spin around with the hula hoops. It appears to be a fun and energetic activity for the kids.,8.953125,Yes
QK8mJJJvaes,00:03:32.170,00:03:33.463,The video clip shows a group of people dancing in a nightclub. They are having a good time and seem to be enjoying themselves. The atmosphere in the club is lively and energetic.,8.953125,Yes
ZpUYjpKg9KY,00:02:44.456,00:02:47.167,"The video clip shows a group of musicians performing on a stage. The lead singer is wearing a red cap and is singing into a microphone while the rest of the band members play their instruments. The stage is dimly lit, and the audience can be seen in the background.",8.9453125,Yes
pIvvhEV8SWs,00:01:19.840,00:01:20.480,The video clip shows a group of people dressed in pink dancing in the street. They are all wearing pink shirts and appear to be having a good time.,8.9453125,Yes
cNKOC6I1SPI,00:08:45.200,00:08:49.120,The video clip shows a man wearing a white suit and a red tie walking down the street. He is carrying a bouquet of flowers and appears to be on his way to a wedding.,8.9453125,No
RYnFIRc0k6E,00:02:59.888,00:03:00.514,The video clip shows a group of people dancing together in a club. They appear to be having a good time and enjoying the music.,8.9453125,Yes
MK1y2qraAuc,00:03:19.324,00:03:20.450,The video clip shows a group of people singing and dancing in a car. They appear to be having a lot of fun and enjoying themselves. It seems to be a lively and energetic performance.,8.9375,Yes
7MI3buZedOw,00:00:13.125,00:00:13.750,The video clip shows a group of musicians dressed in bunny costumes performing on stage. They are playing instruments and singing while wearing the bunny costumes. It seems like a fun and lively performance.,8.9375,Yes
aVgetIvEIAs,00:01:53.488,00:01:55.240,"The video clip shows a man wearing a suit and tie singing into a microphone. He is accompanied by a group of musicians who are playing instruments. The setting appears to be indoors, and it seems to be a performance.",8.9375,Yes
52E4JRtDPYg,00:05:07.741,00:05:08.242,The video clip shows a virtual game where the players are dressed in superhero costumes and running on a track. The game seems to be based on the Avengers universe.,8.9375,No
ZpUYjpKg9KY,00:02:38.033,00:02:38.658,The video clip shows a group of people dancing together in a crowd. It appears to be a lively and energetic performance.,8.9296875,Yes
WTO7-CQPjdY,00:10:00.880,00:10:04.680,The video clip shows a man wearing an orange shirt who is playing with balls in a backyard. He is standing in the middle of a playground and appears to be having fun.,8.9296875,Yes
8EJ3zbKTWQ8,00:03:06.436,00:03:07.187,The video clip shows a group of people dancing together in a room. They are dressed in colorful clothing and appear to be having a good time. It seems to be a celebration of some kind.,8.9296875,Yes
ZpUYjpKg9KY,00:02:37.407,00:02:38.033,The video clip shows a skateboarder performing a trick in front of a large crowd of people. The skateboarder is wearing a cap and appears to be enjoying the attention of the crowd.,8.921875,No
D8_b_2MTwXo,00:01:25.120,00:01:25.920,The video clip shows a group of people dancing and having fun at a carnival. They are wearing colorful costumes and are surrounded by balloons. One of the people in the group is wearing a pink jacket.,8.921875,Yes
xbYxR3RsNx8,00:00:00.000,00:00:22.028,"The video clip shows a close-up view of a handbag that has been embroidered with flowers. The handbag is placed on a table, and the camera zooms in to show the intricate details of the embroidery.",8.9140625,No
63DlY-6pjzw,00:03:48.295,00:03:50.631,The video clip shows a group of children dressed in colorful costumes and playing with balloons in a backyard. They are having a lot of fun and seem to be enjoying themselves.,8.9140625,Yes
4fndeDfaWCg,00:00:52.803,00:01:13.657,The video clip shows a group of people dressed in white uniforms performing a dance routine in an airport. They are dressed in white suits and are dancing in an airport terminal.,8.9140625,Yes
NF3vWMG6088,00:01:19.400,00:01:20.200,The video clip shows a man wearing a pink hat and a yellow jacket. He is standing in a room and making a funny face. The room appears to be colorful and cheerful.,8.9140625,No
s_sRkGTfWo4,00:02:53.267,00:02:53.800,The video clip shows a teddy bear wearing a red hat and jacket standing under an apple tree. The teddy bear seems to be enjoying the fruits of the tree.,8.90625,No
XDq8V3oW5IA,00:01:19.840,00:01:20.480,"The video clip shows a group of people dressed in pink dancing in the street. They appear to be having a good time and enjoying themselves. There is a yellow car parked in the background, but it does not seem to be related to the main focus of the video.",8.90625,Yes
aeLEXxVTIEQ,00:05:32.960,00:05:37.960,The video clip shows a man dressed in a colorful outfit dancing on a train. He appears to be having a lot of fun as he moves to the beat of the music.,8.90625,No
9viiqYvwvOo,00:12:01.040,00:12:20.040,The video clip shows a group of people dancing in a room. The dancers are wearing colorful outfits and seem to be having a good time. The room appears to be filled with energy and excitement.,8.8984375,Yes
HuSf1UcFRq0,00:02:09.560,00:02:10.400,The video clip shows a group of men playing a game of cricket. They are wearing cricket uniforms and appear to be enjoying themselves while playing the game.,8.8984375,Yes
NQLbCmnTe88,00:02:15.269,00:02:16.069,"The video clip shows a man dressed in a bunny costume dancing with a large stuffed bunny. The man is wearing a white shirt and black tie, and the stuffed bunny is wearing a similar outfit. It appears to be a fun and playful performance.",8.890625,Yes
ZpUYjpKg9KY,00:00:12.012,00:00:13.138,The video clip shows a man wearing a red cap and making a funny face. He seems to be having a good time and enjoying himself.,8.890625,No
aVgetIvEIAs,00:02:29.608,00:02:30.776,"The video clip shows a group of musicians performing on stage. They are dressed in formal attire and are playing instruments such as a guitar, drums, and a cello. The lead singer is wearing a suit and is singing into a microphone while the rest of the band members play their instruments.",8.8828125,Yes
GoIM93aVCDY,00:16:17.000,00:16:18.800,The video clip shows a young girl sitting at a table with a plate of food in front of her. She is smiling and appears to be enjoying her meal.,8.875,No
VEfkNHTjgs8,00:04:38.987,00:04:40.030,The video clip shows a group of people dressed in colorful costumes performing a dance routine in a flower shop. They seem to be having a lot of fun and enjoying themselves.,8.8671875,Yes
sLOUzW2LN0s,00:02:24.680,00:02:26.200,"The video clip shows a man dancing in front of a classic car. He is wearing a black shirt and black pants, and appears to be enjoying the music playing in the background.",8.8671875,No
hkv9fg0lvAI,00:02:55.509,00:02:57.010,"The video clip shows a group of people dancing together in a public place. They appear to be having fun and enjoying each other's company. The dancers are of different ages and backgrounds, but they all seem to be having a great time.",8.859375,Yes
s_sRkGTfWo4,00:02:52.600,00:02:53.267,The video clip shows a teddy bear wearing a red hat and jacket standing in an apple tree. The teddy bear seems to be enjoying the fruits of the tree.,8.859375,No
bE4cIWzIH4w,00:01:18.080,00:01:19.080,The video clip shows a man wearing sunglasses and a Hawaiian shirt sitting on a boat with a basket of fruits in front of him. He is pointing at the fruits and making a gesture with his hand.,8.8515625,No
VCShBC9B8MU,00:02:04.750,00:02:06.375,The video clip shows a man dressed in a red robe sitting on a throne in the clouds. He appears to be a religious figure.,8.84375,No
xreclu1ibdU,00:03:25.172,00:03:32.646,The video clip shows a woman standing in front of a candy store. She is wearing a white coat and smiling at the camera. The store is filled with a variety of colorful candies.,8.84375,No
zOhDt1kin5o,00:02:28.899,00:02:30.525,The video clip shows a man wearing sunglasses and a tank top dancing in a nightclub. He is surrounded by a crowd of people who are also dancing and having a good time.,8.84375,Yes
VEfkNHTjgs8,00:04:59.090,00:05:04.930,"The video clip shows a group of people dressed in colorful costumes dancing on a street. They are performing a synchronized dance routine and seem to be having a lot of fun. The street is lined with shops and there are people walking by, enjoying the performance.",8.84375,Yes
1t_sMynan_k,00:01:25.680,00:01:26.440,"The video clip shows two men standing on the beach, both of them wearing swimsuits. They are posing for the camera and seem to be having a good time.",8.84375,No
K2usmJBsDwU,00:01:57.400,00:01:58.600,The video clip shows a group of men singing and dancing in a nightclub. They are dressed in suits and are accompanied by a woman who is also singing. The atmosphere in the video is lively and energetic.,8.84375,Yes
ZpUYjpKg9KY,00:02:23.101,00:02:24.102,The video clip shows a man performing a stunt on a skateboard in front of a large crowd of people. The skateboarder is wearing a cap and appears to be enjoying the attention of the audience.,8.84375,No
Kq3M09qTDDM,00:02:01.488,00:02:03.223,The video clip shows a man wearing sunglasses and a hat dancing in the water. He is dressed in a red jacket and appears to be having a good time.,8.8359375,No
SPcBT9wkUok,00:01:41.393,00:01:42.561,The video clip shows a man playing with a frisbee in the snow. He is wearing a sweater and appears to be enjoying the winter weather.,8.8359375,Yes
RYnFIRc0k6E,00:03:10.482,00:03:11.108,The video clip shows a group of people dancing together in a room with disco balls hanging from the ceiling. They appear to be having a good time as they move their bodies to the rhythm of the music.,8.8359375,Yes
9G62MZEh_1s,00:01:09.236,00:01:11.113,The video clip shows a group of people dancing together in a room. They appear to be having a good time and enjoying each other's company. It seems to be a fun and lively atmosphere.,8.8359375,Yes
VtSqOaGqtLU,00:05:49.917,00:05:58.917,"The video clip shows a woman pouring water into a glass jar filled with sliced oranges. The sliced oranges are placed inside the jar, and the woman pours the water over them. It seems like the woman is making some kind of citrus-based drink.",8.828125,No
ZpUYjpKg9KY,00:01:15.742,00:01:17.619,"The video clip shows a man wearing a red cap and a t-shirt, standing in front of a truck. He appears to be a musician or a performer.",8.828125,No
Mx0pImLptqg,00:06:17.460,00:06:18.295,The video clip shows a group of people dressed in pajamas dancing together. They are all wearing matching pajamas and seem to be having a good time. It appears to be a fun and lively performance.,8.828125,Yes
ZpUYjpKg9KY,00:02:00.537,00:02:01.163,The video clip shows a group of people cheering and dancing in a crowd. It appears to be a lively and energetic event.,8.828125,Yes
AA_4Bt6wPzQ,00:05:10.477,00:05:11.278,The video clip shows a man dressed in a costume and holding a skull. He is wearing a hat and appears to be in a theater setting. The man seems to be making a funny face while holding the skull.,8.8203125,No
AA_4Bt6wPzQ,00:08:15.462,00:08:16.763,The video clip shows a man dressed in a skull costume holding a skull in his hand while standing in a theater. He appears to be performing a comedy routine.,8.8203125,No
JmU16BbDmNM,00:02:49.211,00:02:50.170,The video clip shows a group of people dancing in a playground. They are dressed in colorful clothes and appear to be having a lot of fun.,8.8203125,Yes
RYnFIRc0k6E,00:02:20.223,00:02:21.099,The video clip shows a group of people dancing and having fun in a club. They are all wearing hats and appear to be enjoying themselves.,8.8203125,Yes
WwTB2Y81InM,00:00:36.328,00:00:38.038,The video clip shows a man wearing sunglasses and making a gesture with his hand. He is also wearing a shirt and appears to be in a dark room.,8.8203125,No
5Wgci4oyorI,00:02:16.056,00:02:17.263,The video clip shows a man wearing a white hat and a striped shirt. He is also wearing a tie and appears to be dancing.,8.8203125,Yes
fXSovfzyx28,00:01:30.520,00:01:33.040,The video clip shows a group of musicians performing on a stage. They are dressed in military uniforms and are playing instruments. The stage is decorated with a red and white striped backdrop.,8.8203125,Yes
OSfPGrj8ut0,00:02:02.880,00:02:05.080,The video clip shows a man and a woman dressed in yellow shirts dancing on the beach. They seem to be having a good time and enjoying themselves.,8.8125,Yes
KlAAQ4TzqdA,00:01:53.200,00:01:56.120,The video clip shows a group of men dressed in blue jackets standing in front of a row of classic cars. They seem to be posing for a photo and appear to be having a good time.,8.8125,Yes
ADjvsjB4T54,00:00:14.214,00:00:15.582,The video clip shows a boxing match between two men. One of them is wearing a red shirt and the other is wearing a blue shirt. Both of them are boxing each other in the ring.,8.8125,Yes
QK8mJJJvaes,00:03:34.756,00:03:35.465,The video clip shows a man dressed in a pink suit dancing in a crowded room. He is wearing sunglasses and is surrounded by a group of people who are also dancing. It appears to be a lively and energetic atmosphere.,8.8046875,Yes
SCotFoF3kKE,00:00:20.587,00:00:24.057,The video clip shows a man wearing an orange jacket and holding a plate of food. He is standing next to a plant and seems to be preparing a meal.,8.8046875,No
1nAUB0HTIQA,00:00:48.298,00:00:48.966,The video clip shows a group of people dancing together in a lively and energetic manner. They appear to be having a good time and enjoying each other's company.,8.796875,Yes
NQLbCmnTe88,00:00:15.082,00:00:18.218,The video clip shows a man dressed as a bunny rabbit and a woman dressed as a bunny rabbit dancing together on a brick walkway. They appear to be having fun and enjoying each other's company.,8.796875,Yes
gCidxgspSro,00:03:14.694,00:03:34.548,The video clip shows a group of men dressed in suits and ties standing in front of a building. One of the men is wearing a bow tie. They appear to be posing for a photo.,8.796875,Yes
i1BO0bbKCyo,00:00:18.685,00:00:19.311,The video clip shows a group of people dancing in a room filled with balloons. They are all dressed in colorful outfits and seem to be having a good time. The atmosphere in the room is lively and energetic.,8.796875,Yes
NxBY_gfQbfc,00:13:23.760,00:13:27.160,"The video clip shows a group of children and adults participating in a dance competition. The children are dressed in colorful costumes, and the adults are wearing yellow shirts. The competition seems to be a fun and energetic event.",8.796875,Yes
g52Uh9wmqZg,00:00:31.640,00:00:32.360,The video clip shows a man lying in bed with his arms outstretched. He seems to be enjoying a peaceful sleep. It appears to be a relaxing and calming scene.,8.7890625,No
h8ZttbQZHHs,00:02:38.325,00:02:39.951,The video clip shows a man and a woman dressed in swimwear dancing together in a tropical setting. The man is wearing a bikini and the woman is wearing a swimsuit. They are both holding pineapples while dancing.,8.7890625,Yes
qV53OI4LcsY,00:04:10.920,00:04:13.840,"The video clip shows a table set up with a breakfast meal consisting of eggs, toast, and a cup of coffee. The table is decorated with colorful Easter eggs and a pineapple.",8.7890625,No
8NyParAaNos,00:03:58.320,00:04:00.160,The video clip shows a group of people dancing together in a gym. They are dressed in colorful costumes and appear to be having a lot of fun. It seems to be a lively and energetic performance.,8.7890625,Yes
NQLbCmnTe88,00:01:20.647,00:01:21.148,"The video clip shows a man dressed in a bunny costume walking down a street. The man is wearing a black and white bunny suit, and he is accompanied by a woman who is also dressed in a bunny costume. The two of them are dancing and having fun in the street.",8.7890625,Yes
ibwixyj1Klc,00:01:26.320,00:01:28.280,The video clip shows a man wearing a coat and sunglasses walking down a street. He appears to be dancing as he walks.,8.78125,No
st8xWyMZXOU,00:00:45.480,00:00:46.560,The video clip shows a group of people wearing masks and dancing together. They appear to be having a good time and enjoying each other's company.,8.78125,Yes
L2vDHTygLlM,00:00:51.018,00:00:58.659,"The video clip shows a group of children playing in a store. The store appears to be a toy store, and the children seem to be having a lot of fun exploring the various toys and games available. There is a checkered floor in the store, and the children can be seen running around and interacting with each other.",8.78125,Yes
SXvxJELpD4w,00:00:32.320,00:00:33.760,The video clip shows a group of musicians performing on a cruise ship. They are playing instruments and singing while standing on the deck of the ship. It appears to be a lively and enjoyable performance.,8.78125,Yes
